Year,Quarter,Group,Unit,Inflation Deflator,Real Total Wealth,Real Wealth Share,Real Wealth Per Unit Growth,Real Wealth Per Unit
1976,,Middle 40%,Adults,0.23993444,5.94891E+12,0.336896651,0,104416.877
1976,,Middle 40%,Adults,0.24025238,6.01182E+12,0.336318117,0.008787554,105334.4459
1976,,Middle 40%,Adults,0.24077073,6.07269E+12,0.335979422,0.017041888,106196.3377
1976,,Middle 40%,Adults,0.24162138,6.13324E+12,0.336168859,0.025194747,107047.6338
1976,,Middle 40%,Adults,0.24285275,6.18173E+12,0.336596415,0.031387483,107694.2599
1976,,Middle 40%,Adults,0.24374177,6.22398E+12,0.3369782,0.036676437,108246.516
1976,,Middle 40%,Adults,0.24457005,6.24384E+12,0.337073359,0.038305604,108416.6285
1976,,Middle 40%,Adults,0.24577188,6.24445E+12,0.336947357,0.036777295,108257.0472
1976,,Middle 40%,Adults,0.24727948,6.24249E+12,0.336728593,0.034900128,108061.0394
1976,,Middle 40%,Adults,0.24896811,6.25547E+12,0.336514172,0.035429075,108116.2704
1976,,Middle 40%,Adults,0.25026855,6.28528E+12,0.336467525,0.038666706,108454.3337
1976,,Middle 40%,Adults,0.25161788,6.31056E+12,0.336735392,0.041126332,108711.1601
1977,,Middle 40%,Adults,0.2528069,6.30988E+12,0.336653639,0.039222234,108512.3402
1977,,Middle 40%,Adults,0.25453672,6.29431E+12,0.336797716,0.034734604,108043.7559
1977,,Middle 40%,Adults,0.25560036,6.30235E+12,0.336918104,0.033980207,107964.9841
1977,,Middle 40%,Adults,0.25689629,6.32534E+12,0.336807886,0.035691952,108143.7191
1977,,Middle 40%,Adults,0.25789505,6.3633E+12,0.336543924,0.039963451,108589.7358
1977,,Middle 40%,Adults,0.25891182,6.39693E+12,0.336178711,0.04362791,108972.3671
1977,,Middle 40%,Adults,0.25971621,6.4204E+12,0.335821164,0.045766918,109195.7156
1977,,Middle 40%,Adults,0.26092711,6.42654E+12,0.33545853,0.045278335,109144.6993
1977,,Middle 40%,Adults,0.26246536,6.42451E+12,0.335118953,0.043511561,108960.2183
1977,,Middle 40%,Adults,0.26480284,6.41075E+12,0.334819737,0.039641996,108556.1704
1977,,Middle 40%,Adults,0.26692984,6.40509E+12,0.33453134,0.037000773,108280.3822
1977,,Middle 40%,Adults,0.2682966,6.41618E+12,0.334206703,0.037059479,108286.512
1978,,Middle 40%,Adults,0.2694234,6.47417E+12,0.33613713,0.044598029,109073.6639
1978,,Middle 40%,Adults,0.27034563,6.53903E+12,0.338003015,0.053116816,109963.169
1978,,Middle 40%,Adults,0.27190629,6.59758E+12,0.339787471,0.060400729,110723.7325
1978,,Middle 40%,Adults,0.27391231,6.65893E+12,0.341506315,0.06811497,111529.2294
1978,,Middle 40%,Adults,0.27579084,6.73193E+12,0.343154711,0.077852653,112546.0079
1978,,Middle 40%,Adults,0.27749243,6.81435E+12,0.344729683,0.089186388,113729.4411
1978,,Middle 40%,Adults,0.27889469,6.90499E+12,0.346202907,0.10185816,115052.588
